Cluster;RA_ICRS;DE_ICRS;GLON;GLAT;r50;nbstars07;pmRA*;e_pmRA*;pmDE;e_pmDE;plx;e_plx;Flag;AgeNN;AVNN;DMNN;DistPc;X;Y;Z;Rgc;SimbadName;_RA.icrs;_DE.icrs
NGC_6633         ;276.845;+06.615; 36.122;  8.347; 0.360; 149;  1.198; 0.325; -1.811; 0.297; 2.525; 0.073;manual        ; 8.84; 0.30; 8.14;   424;    339;    247;    61;  8004;NGC 6633                       ;276.8450;+06.6150
NGC_6645         ;278.158;-16.918; 15.754; -3.606; 0.121; 312;  1.340; 0.129; -0.633; 0.114; 0.543; 0.064;NN            ; 8.71; 0.97;11.29;  1810;   1739;    490;  -113;  6618;NGC 6645                       ;278.1580;-16.9180
NGC_6649         ;278.359;-10.399; 21.637; -0.780; 0.057; 483; -0.007; 0.178; -0.055; 0.182; 0.467; 0.087;NN            ; 7.85; 3.90;11.64;  2124;   1974;    783;   -28;  6413;NGC 6649                       ;278.3590;-10.3990
NGC_6664         ;279.125;-08.194; 23.943; -0.436; 0.102; 179; -0.089; 0.109; -2.561; 0.103; 0.468; 0.059;NN            ; 8.35; 1.94;11.62;  2110;   1928;    856;   -16;  6468;NGC 6664                       ;279.1250;-08.1940
NGC_6694         ;281.317;-09.386; 23.873; -2.908; 0.059; 163;  0.144; 0.123; -1.411; 0.110; 0.524; 0.047;NN            ; 8.15; 1.63;11.42;  1921;   1754;    776;   -97;  6631;NGC 6694                       ;281.3170;-09.3860
NGC_6704         ;282.687;-05.203; 28.220; -2.217; 0.037; 125; -0.730; 0.104; -3.139; 0.103; 0.434; 0.047;NN            ; 8.30; 2.23;11.55;  2040;   1796;    963;   -78;  6614;NGC 6704                       ;282.6870;-05.2030
NGC_6705         ;282.766;-06.272; 27.304; -2.773; 0.074;1183; -1.568; 0.160; -4.144; 0.161; 0.427; 0.083;NN            ; 8.49; 1.20;11.72;  2203;   1955;   1009;  -106;  6464;NGC 6705                       ;282.7660;-06.2720
NGC_6709         ;282.836;+10.334; 42.140;  4.712; 0.140; 247;  1.414; 0.141; -3.532; 0.171; 0.911; 0.055;NN            ; 8.28; 0.72;10.09;  1041;    769;    696;    85;  7602;NGC 6709                       ;282.8360;+10.3340
NGC_6716         ;283.616;-19.888; 15.397; -9.565; 0.099;  76; -1.476; 0.199; -6.013; 0.184; 1.405; 0.079;NN            ; 7.99; 0.43; 9.23;   702;    668;    183;  -116;  7674;NGC 6716                       ;283.6160;-19.8880
NGC_6728         ;284.715;-08.953; 25.778; -5.707; 0.128; 190;  1.312; 0.108; -1.760; 0.107; 0.536; 0.057;NN            ; 8.78; 0.84;11.31;  1829;   1638;    791;  -181;  6747;NGC 6728                       ;284.7150;-08.9530
NGC_6735         ;285.155;-00.498; 33.535; -2.270; 0.105; 139;  0.072; 0.087; -1.274; 0.080; 0.416; 0.046;NN            ; 8.39; 1.74;11.88;  2378;   1980;   1312;   -94;  6493;NGC 6735                       ;285.1550;-00.4980
NGC_6755         ;286.942;+04.224; 38.554; -1.696; 0.088; 217; -0.734; 0.114; -3.529; 0.138; 0.376; 0.060;NN            ; 8.16; 2.34;12.11;  2647;   2069;   1649;   -78;  6483;NGC 6755                       ;286.9420;+04.2240
NGC_6756         ;287.181;+04.711; 39.097; -1.684; 0.028; 227; -1.584; 0.175; -3.631; 0.176; 0.281; 0.077;NN            ; 7.68; 3.17;12.50;  3166;   2456;   1995;   -93;  6213;NGC 6756                       ;287.1810;+04.7110
NGC_6791         ;290.221;+37.778; 69.964; 10.906; 0.068;1629; -0.421; 0.165; -2.269; 0.193; 0.192; 0.084;NN            ; 9.80; 0.70;13.13;  4231;   1423;   3903;   800;  7942;NGC 6791                       ;290.2210;+37.7780
NGC_6793         ;290.817;+22.159; 56.186;  3.318; 0.227; 185;  3.795; 0.186;  3.544; 0.177; 1.669; 0.055;NN            ; 8.49; 0.74; 8.99;   628;    349;    521;    36;  8007;NGC 6793                       ;290.8170;+22.1590
NGC_6800         ;291.664;+25.008; 59.070;  3.975; 0.180;  23;  0.438; 0.057; -0.876; 0.108; 0.953; 0.017;NN            ; 8.61; 0.83;10.03;  1012;    519;    866;    70;  7868;NGC 6800                       ;291.6640;+25.0080
NGC_6802         ;292.651;+20.262; 55.328;  0.913; 0.048; 329; -2.814; 0.114; -6.438; 0.125; 0.309; 0.067;NN            ; 8.82; 2.37;12.20;  2753;   1566;   2264;    43;  7142;NGC 6802                       ;292.6510;+20.2620
NGC_6811         ;294.340;+46.378; 79.207; 11.999; 0.190; 296; -3.399; 0.116; -8.812; 0.123; 0.870; 0.039;NN            ; 9.03; 0.09;10.33;  1161;    212;   1116;   241;  8203;NGC 6811                       ;294.3400;+46.3780
NGC_6819         ;295.327;+40.190; 73.982;  8.481; 0.095;1527; -2.916; 0.128; -3.856; 0.140; 0.356; 0.047;NN            ; 9.35; 0.40;12.21;  2765;    754;   2628;   407;  8027;NGC 6819                       ;295.3270;+40.1900
NGC_6823         ;295.794;+23.321; 59.423; -0.139; 0.074; 140; -1.697; 0.160; -5.304; 0.143; 0.446; 0.061;NN            ; 6.38; 2.22;11.84;  2330;   1185;   2006;    -5;  7430;NGC 6823                       ;295.7940;+23.3210
NGC_6827         ;297.220;+21.213; 58.261; -2.338; 0.021; 111; -2.418; 0.133; -5.465; 0.111; 0.103; 0.092;NN            ; 9.11; 1.98;13.79;  5735;   3014;   4873;  -233;  7218;NGC 6827                       ;297.2200;+21.2130
NGC_6830         ;297.718;+23.101; 60.123; -1.777; 0.070;  92; -3.213; 0.062; -5.766; 0.080; 0.424; 0.031;NN            ; 8.21; 1.44;11.88;  2379;   1184;   2062;   -73;  7446;NGC 6830                       ;297.7180;+23.1010
NGC_6834         ;298.052;+29.399; 65.692;  1.183; 0.050; 211; -2.487; 0.099; -5.094; 0.089; 0.272; 0.042;NN            ; 7.28; 1.97;12.58;  3283;   1351;   2992;    67;  7602;NGC 6834                       ;298.0520;+29.3990
NGC_6846         ;299.112;+32.349; 68.689;  1.923; 0.021;  53; -2.971; 0.205; -4.994; 0.203; 0.089; 0.107;NN            ; 8.69; 2.85;13.63;  5321;   1932;   4954;   178;  8099;NGC 6846                       ;299.1120;+32.3490
